		 Key (READ-ONLY) 	Value	 Key (READ-ONLY) __ Key (READ-ONLY) 
kids-toys	brand_category_gender_color	title	[[color]] [[brand]] [[category]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.kids-toys.default_brand_category_gender_color_title
kids-toys	brand_category_gender_color	meta	Buy the newest [[color]] [[brand]] [[category]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.kids-toys.default_brand_category_gender_color_meta
kids-toys	brand_category_gender_color	h1	[[heading]]	plp.kids-toys.default_brand_category_gender_color_h1
kids-toys	brand_series	title	[[brand]] [[series]] | The best prices online in [[country]] | iPrice	plp.kids-toys.default_brand_series_title
kids-toys	brand_series	meta	Buy the newest [[brand]] [[series]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.kids-toys.default_brand_series_meta
kids-toys	brand_series	h1	[[heading]]	plp.kids-toys.default_brand_series_h1
kids-toys	brand_series_model	title	[[brand]] [[series]] [[model]] | The best prices online in [[country]] | iPrice	plp.kids-toys.default_brand_series_model_title
kids-toys	brand_series_model	meta	Buy the newest [[brand]] [[series]] [[model]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.kids-toys.default_brand_series_model_meta
kids-toys	brand_series_model	h1	[[heading]]	plp.kids-toys.default_brand_series_model_h1
kids-toys	brand_series_color	title	[[color]] [[brand]] [[series]] | The best prices online in [[country]] | iPrice	plp.kids-toys.default_brand_series_color_title
kids-toys	brand_series_color	meta	Buy the newest [[brand]] [[series]] in [[color]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.kids-toys.default_brand_series_color_meta
kids-toys	brand_series_color	h1	[[heading]]	plp.kids-toys.default_brand_series_color_h1
kids-toys	brand_series_model_color	title	[[color]] [[brand]] [[series]] [[model]] | The best prices online in [[country]] | iPrice	plp.kids-toys.default_brand_series_model_color_title
kids-toys	brand_series_model_color	meta	Buy the newest [[color]] [[series]] [[model]] from [[brand]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.kids-toys.default_brand_series_model_color_meta
kids-toys	brand_series_model_color	h1	[[heading]]	plp.kids-toys.default_brand_series_model_color_h1
kids-toys	brand_series_gender	title	[[brand]] [[series]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.kids-toys.default_brand_series_gender_title
kids-toys	brand_series_gender	meta	Buy the newest [[brand]] [[series]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.kids-toys.default_brand_series_gender_meta
kids-toys	brand_series_gender	h1	[[heading]]	plp.kids-toys.default_brand_series_gender_h1
kids-toys	brand_series_model_gender	title	[[brand]] [[series]] [[model]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.kids-toys.default_brand_series_model_gender_title
kids-toys	brand_series_model_gender	meta	Buy the newest [[brand]] [[series]] [[model]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.kids-toys.default_brand_series_model_gender_meta
kids-toys	brand_series_model_gender	h1	[[heading]]	plp.kids-toys.default_brand_series_model_gender_h1
kids-toys	brand_series_gender_color	title	[[color]] [[brand]] [[series]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.kids-toys.default_brand_series_gender_color_title
kids-toys	brand_series_gender_color	meta	Buy the newest [[color]] [[brand]] [[series]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.kids-toys.default_brand_series_gender_color_meta
kids-toys	brand_series_gender_color	h1	[[heading]]	plp.kids-toys.default_brand_series_gender_color_h1
kids-toys	brand_series_model_gender_color	title	[[color]] [[brand]] [[series]] [[model]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.kids-toys.default_brand_series_model_gender_color_title
kids-toys	brand_series_model_gender_color	meta	Buy the newest [[color]] [[brand]] [[series]] [[model]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.kids-toys.default_brand_series_model_gender_color_meta
kids-toys	brand_series_model_gender_color	h1	[[heading]]	plp.kids-toys.default_brand_series_model_gender_color_h1
kids-toys	brand_series_category	title	[[brand]] [[series]] [[category]] | The best prices online in [[country]] | iPrice	plp.kids-toys.default_brand_series_category_title
kids-toys	brand_series_category	meta	Buy the newest [[brand]] [[series]] [[category]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.kids-toys.default_brand_series_category_meta
kids-toys	brand_series_category	h1	[[heading]]	plp.kids-toys.default_brand_series_category_h1
kids-toys	brand_series_model_category	title	[[brand]] [[series]] [[model]] [[category]] | The best prices online in [[country]] | iPrice	plp.kids-toys.default_brand_series_model_category_title
kids-toys	brand_series_model_category	meta	Buy the newest [[brand]] [[series]] [[model]] [[category]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.kids-toys.default_brand_series_model_category_meta
kids-toys	brand_series_model_category	h1	[[heading]]	plp.kids-toys.default_brand_series_model_category_h1
kids-toys	brand_series_category_gender	title	[[brand]] [[series]] [[category]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.kids-toys.default_brand_series_category_gender_title
kids-toys	brand_series_category_gender	meta	Buy the newest [[series]] [[category]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.kids-toys.default_brand_series_category_gender_meta
kids-toys	brand_series_category_gender	h1	[[heading]]	plp.kids-toys.default_brand_series_category_gender_h1
kids-toys	brand_series_model_category_gender	title	[[brand]] [[series]] [[model]] [[category]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.kids-toys.default_brand_series_model_category_gender_title
kids-toys	brand_series_model_category_gender	meta	Buy the newest [[brand]] [[series]] [[model]] [[category]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.kids-toys.default_brand_series_model_category_gender_meta
kids-toys	brand_series_model_category_gender	h1	[[heading]]	plp.kids-toys.default_brand_series_model_category_gender_h1
kids-toys	brand_series_category_color	title	[[color]] [[brand]] [[series]] [[category]] | The best prices online in [[country]] | iPrice	plp.kids-toys.default_brand_series_category_color_title
kids-toys	brand_series_category_color	meta	Buy the newest [[color]] [[brand]] [[series]] [[category]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.kids-toys.default_brand_series_category_color_meta
kids-toys	brand_series_category_color	h1	[[heading]]	plp.kids-toys.default_brand_series_category_color_h1
kids-toys	brand_series_model_category_color	title	[[color]] [[brand]] [[series]] [[model]] [[category]] | The best prices online in [[country]] | iPrice	plp.kids-toys.default_brand_series_model_category_color_title
kids-toys	brand_series_model_category_color	meta	Buy the newest [[color]] [[brand]] [[series]] [[model]] [[category]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.kids-toys.default_brand_series_model_category_color_meta
kids-toys	brand_series_model_category_color	h1	[[heading]]	plp.kids-toys.default_brand_series_model_category_color_h1
kids-toys	brand_series_category_gender_color	title	[[color]] [[brand]] [[series]] [[category]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.kids-toys.default_brand_series_category_gender_color_title
kids-toys	brand_series_category_gender_color	meta	Buy the newest [[color]] [[brand]] [[series]] [[category]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.kids-toys.default_brand_series_category_gender_color_meta
kids-toys	brand_series_category_gender_color	h1	[[heading]]	plp.kids-toys.default_brand_series_category_gender_color_h1
kids-toys	brand_series_model_category_gender_color	title	[[color]] [[brand]] [[series]] [[model]] [[category]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.kids-toys.default_brand_series_model_category_gender_color_title
kids-toys	brand_series_model_category_gender_color	meta	Buy the newest [[color]] [[brand]] [[series]] [[model]] [[category]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.kids-toys.default_brand_series_model_category_gender_color_meta
kids-toys	brand_series_model_category_gender_color	h1	[[heading]]	plp.kids-toys.default_brand_series_model_category_gender_color_h1
health-beauty	category	title	[[category]] | The best prices online in [[country]] | iPrice	plp.health-beauty.default_category_title
health-beauty	category_gender	title	[[category]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.health-beauty.default_category_gender_title
health-beauty	brand_category	title	[[brand]] [[category]] | The best prices online in [[country]] | iPrice	plp.health-beauty.default_brand_category_title
health-beauty	brand	title	[[brand]] Online Store | The best prices online in [[country]] | iPrice	plp.health-beauty.default_brand_title
health-beauty	brand_gender	title	[[brand]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.health-beauty.default_brand_gender_title
health-beauty	brand_category_gender	title	[[brand]] [[category]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.health-beauty.default_brand_category_gender_title
health-beauty	category	meta	Buy the newest [[category]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.health-beauty.default_category_meta
health-beauty	category_gender	meta	Buy the newest [[category]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.health-beauty.default_category_gender_meta
health-beauty	brand_category	meta	Buy the newest [[brand]] [[category]] in [[country]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.health-beauty.default_brand_category_meta
health-beauty	brand	meta	Buy the newest [[brand]] products in [[country]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.health-beauty.default_brand_meta
health-beauty	brand_gender	meta	Buy the newest [[brand]] products for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.health-beauty.default_brand_gender_meta
health-beauty	brand_category_gender	meta	Buy the newest [[brand]] [[category]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.health-beauty.default_brand_category_gender_meta
health-beauty	category	h1	[[heading]]	plp.health-beauty.default_category_h1
health-beauty	category_gender	h1	[[heading]]	plp.health-beauty.default_category_gender_h1
health-beauty	brand_category	h1	[[heading]]	plp.health-beauty.default_brand_category_h1
health-beauty	brand	h1	[[heading]] Online Store	plp.health-beauty.default_brand_h1
health-beauty	brand_gender	h1	[[heading]]	plp.health-beauty.default_brand_gender_h1
health-beauty	brand_category_gender	h1	[[heading]]	plp.health-beauty.default_brand_category_gender_h1
health-beauty	search	title	%1$s - Buy %1$s online in %2$s | iPrice	plp.health-beauty.default_search_title
health-beauty	search	meta	Find, Compare & Buy %1$s for great prices online ★ Discover the latest %1$s trends and promotions. ✓ Large Selection ✓ Trusted Stores ✓ Best Offers	plp.health-beauty.default_search_meta
health-beauty	category_color	title	[[color]] [[category]] | The best prices online in [[country]] | iPrice	plp.health-beauty.default_category_color_title
health-beauty	category_color	meta	Buy the newest [[color]] [[category]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.health-beauty.default_category_color_meta
health-beauty	category_color	h1	[[heading]]	plp.health-beauty.default_category_color_h1
health-beauty	gender_color	title	[[color]] Products for [[gender]] | The best prices online in [[country]] | iPrice	plp.health-beauty.default_gender_color_title
health-beauty	gender_color	meta	Buy the newest [[color]] products for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.health-beauty.default_gender_color_meta
health-beauty	gender_color	h1	[[heading]]	plp.health-beauty.default_gender_color_h1
health-beauty	brand_color	title	[[color]] products from [[brand]] | The best prices online in [[country]] | iPrice	plp.health-beauty.default_brand_color_title
health-beauty	brand_color	meta	Buy the newest [[color]] products from [[brand]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.health-beauty.default_brand_color_meta
health-beauty	brand_color	h1	[[heading]]	plp.health-beauty.default_brand_color_h1
health-beauty	brand_gender_color	title	[[color]] products from [[brand]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.health-beauty.default_brand_gender_color_title
health-beauty	brand_gender_color	meta	Buy the newest [[color]] [[brand]] products for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.health-beauty.default_brand_gender_color_meta
health-beauty	brand_gender_color	h1	[[heading]]	plp.health-beauty.default_brand_gender_color_h1
health-beauty	category_gender_color	title	[[color]] [[category]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.health-beauty.default_category_gender_color_title
health-beauty	category_gender_color	meta	Buy the newest [[color]] [[category]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.health-beauty.default_category_gender_color_meta
health-beauty	category_gender_color	h1	[[heading]]	plp.health-beauty.default_category_gender_color_h1
health-beauty	brand_category_color	title	[[color]] [[brand]] [[category]] | The best prices online in [[country]] | iPrice	plp.health-beauty.default_brand_category_color_title
health-beauty	brand_category_color	meta	Buy the newest [[color]] [[brand]] [[category]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.health-beauty.default_brand_category_color_meta
health-beauty	brand_category_color	h1	[[heading]]	plp.health-beauty.default_brand_category_color_h1
health-beauty	brand_category_gender_color	title	[[color]] [[brand]] [[category]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.health-beauty.default_brand_category_gender_color_title
health-beauty	brand_category_gender_color	meta	Buy the newest [[color]] [[brand]] [[category]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.health-beauty.default_brand_category_gender_color_meta
health-beauty	brand_category_gender_color	h1	[[heading]]	plp.health-beauty.default_brand_category_gender_color_h1
health-beauty	brand_series	title	[[brand]] [[series]] | The best prices online in [[country]] | iPrice	plp.health-beauty.default_brand_series_title
health-beauty	brand_series	meta	Buy the newest [[brand]] [[series]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.health-beauty.default_brand_series_meta
health-beauty	brand_series	h1	[[heading]]	plp.health-beauty.default_brand_series_h1
health-beauty	brand_series_model	title	[[brand]] [[series]] [[model]] | The best prices online in [[country]] | iPrice	plp.health-beauty.default_brand_series_model_title
health-beauty	brand_series_model	meta	Buy the newest [[brand]] [[series]] [[model]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.health-beauty.default_brand_series_model_meta
health-beauty	brand_series_model	h1	[[heading]]	plp.health-beauty.default_brand_series_model_h1
health-beauty	brand_series_color	title	[[color]] [[brand]] [[series]] | The best prices online in [[country]] | iPrice	plp.health-beauty.default_brand_series_color_title
health-beauty	brand_series_color	meta	Buy the newest [[brand]] [[series]] in [[color]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.health-beauty.default_brand_series_color_meta
health-beauty	brand_series_color	h1	[[heading]]	plp.health-beauty.default_brand_series_color_h1
health-beauty	brand_series_model_color	title	[[color]] [[brand]] [[series]] [[model]] | The best prices online in [[country]] | iPrice	plp.health-beauty.default_brand_series_model_color_title
health-beauty	brand_series_model_color	meta	Buy the newest [[color]] [[series]] [[model]] from [[brand]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.health-beauty.default_brand_series_model_color_meta
health-beauty	brand_series_model_color	h1	[[heading]]	plp.health-beauty.default_brand_series_model_color_h1
health-beauty	brand_series_gender	title	[[brand]] [[series]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.health-beauty.default_brand_series_gender_title
health-beauty	brand_series_gender	meta	Buy the newest [[brand]] [[series]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.health-beauty.default_brand_series_gender_meta
health-beauty	brand_series_gender	h1	[[heading]]	plp.health-beauty.default_brand_series_gender_h1
health-beauty	brand_series_model_gender	title	[[brand]] [[series]] [[model]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.health-beauty.default_brand_series_model_gender_title
health-beauty	brand_series_model_gender	meta	Buy the newest [[brand]] [[series]] [[model]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.health-beauty.default_brand_series_model_gender_meta
health-beauty	brand_series_model_gender	h1	[[heading]]	plp.health-beauty.default_brand_series_model_gender_h1
health-beauty	brand_series_gender_color	title	[[color]] [[brand]] [[series]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.health-beauty.default_brand_series_gender_color_title
health-beauty	brand_series_gender_color	meta	Buy the newest [[color]] [[brand]] [[series]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.health-beauty.default_brand_series_gender_color_meta
health-beauty	brand_series_gender_color	h1	[[heading]]	plp.health-beauty.default_brand_series_gender_color_h1
health-beauty	brand_series_model_gender_color	title	[[color]] [[brand]] [[series]] [[model]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.health-beauty.default_brand_series_model_gender_color_title
health-beauty	brand_series_model_gender_color	meta	Buy the newest [[color]] [[brand]] [[series]] [[model]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.health-beauty.default_brand_series_model_gender_color_meta
health-beauty	brand_series_model_gender_color	h1	[[heading]]	plp.health-beauty.default_brand_series_model_gender_color_h1
health-beauty	brand_series_category	title	[[brand]] [[series]] [[category]] | The best prices online in [[country]] | iPrice	plp.health-beauty.default_brand_series_category_title
health-beauty	brand_series_category	meta	Buy the newest [[brand]] [[series]] [[category]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.health-beauty.default_brand_series_category_meta
health-beauty	brand_series_category	h1	[[heading]]	plp.health-beauty.default_brand_series_category_h1
health-beauty	brand_series_model_category	title	[[brand]] [[series]] [[model]] [[category]] | The best prices online in [[country]] | iPrice	plp.health-beauty.default_brand_series_model_category_title
health-beauty	brand_series_model_category	meta	Buy the newest [[brand]] [[series]] [[model]] [[category]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.health-beauty.default_brand_series_model_category_meta
health-beauty	brand_series_model_category	h1	[[heading]]	plp.health-beauty.default_brand_series_model_category_h1
health-beauty	brand_series_category_gender	title	[[brand]] [[series]] [[category]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.health-beauty.default_brand_series_category_gender_title
health-beauty	brand_series_category_gender	meta	Buy the newest [[series]] [[category]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.health-beauty.default_brand_series_category_gender_meta
health-beauty	brand_series_category_gender	h1	[[heading]]	plp.health-beauty.default_brand_series_category_gender_h1
health-beauty	brand_series_model_category_gender	title	[[brand]] [[series]] [[model]] [[category]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.health-beauty.default_brand_series_model_category_gender_title
health-beauty	brand_series_model_category_gender	meta	Buy the newest [[brand]] [[series]] [[model]] [[category]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.health-beauty.default_brand_series_model_category_gender_meta
health-beauty	brand_series_model_category_gender	h1	[[heading]]	plp.health-beauty.default_brand_series_model_category_gender_h1
health-beauty	brand_series_category_color	title	[[color]] [[brand]] [[series]] [[category]] | The best prices online in [[country]] | iPrice	plp.health-beauty.default_brand_series_category_color_title
health-beauty	brand_series_category_color	meta	Buy the newest [[color]] [[brand]] [[series]] [[category]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.health-beauty.default_brand_series_category_color_meta
health-beauty	brand_series_category_color	h1	[[heading]]	plp.health-beauty.default_brand_series_category_color_h1
health-beauty	brand_series_model_category_color	title	[[color]] [[brand]] [[series]] [[model]] [[category]] | The best prices online in [[country]] | iPrice	plp.health-beauty.default_brand_series_model_category_color_title
health-beauty	brand_series_model_category_color	meta	Buy the newest [[color]] [[brand]] [[series]] [[model]] [[category]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.health-beauty.default_brand_series_model_category_color_meta
health-beauty	brand_series_model_category_color	h1	[[heading]]	plp.health-beauty.default_brand_series_model_category_color_h1
health-beauty	brand_series_category_gender_color	title	[[color]] [[brand]] [[series]] [[category]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.health-beauty.default_brand_series_category_gender_color_title
health-beauty	brand_series_category_gender_color	meta	Buy the newest [[color]] [[brand]] [[series]] [[category]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.health-beauty.default_brand_series_category_gender_color_meta
health-beauty	brand_series_category_gender_color	h1	[[heading]]	plp.health-beauty.default_brand_series_category_gender_color_h1
health-beauty	brand_series_model_category_gender_color	title	[[color]] [[brand]] [[series]] [[model]] [[category]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.health-beauty.default_brand_series_model_category_gender_color_title
health-beauty	brand_series_model_category_gender_color	meta	Buy the newest [[color]] [[brand]] [[series]] [[model]] [[category]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.health-beauty.default_brand_series_model_category_gender_color_meta
health-beauty	brand_series_model_category_gender_color	h1	[[heading]]	plp.health-beauty.default_brand_series_model_category_gender_color_h1
automotive	category	title	[[category]] | The best prices online in [[country]] | iPrice	plp.automotive.default_category_title
automotive	category_gender	title	[[category]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.automotive.default_category_gender_title
automotive	brand_category	title	[[brand]] [[category]] | The best prices online in [[country]] | iPrice	plp.automotive.default_brand_category_title
automotive	brand	title	[[brand]] Online Store | The best prices online in [[country]] | iPrice	plp.automotive.default_brand_title
automotive	brand_gender	title	[[brand]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.automotive.default_brand_gender_title
automotive	brand_category_gender	title	[[brand]] [[category]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.automotive.default_brand_category_gender_title
automotive	category	meta	Buy the newest [[category]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.automotive.default_category_meta
automotive	category_gender	meta	Buy the newest [[category]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.automotive.default_category_gender_meta
automotive	brand_category	meta	Buy the newest [[brand]] [[category]] in [[country]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.automotive.default_brand_category_meta
automotive	brand	meta	Buy the newest [[brand]] products in [[country]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.automotive.default_brand_meta
automotive	brand_gender	meta	Buy the newest [[brand]] products for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.automotive.default_brand_gender_meta
automotive	brand_category_gender	meta	Buy the newest [[brand]] [[category]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.automotive.default_brand_category_gender_meta
automotive	category	h1	[[heading]]	plp.automotive.default_category_h1
automotive	category_gender	h1	[[heading]]	plp.automotive.default_category_gender_h1
automotive	brand_category	h1	[[heading]]	plp.automotive.default_brand_category_h1
automotive	brand	h1	[[heading]] Online Store	plp.automotive.default_brand_h1
automotive	brand_gender	h1	[[heading]]	plp.automotive.default_brand_gender_h1
automotive	brand_category_gender	h1	[[heading]]	plp.automotive.default_brand_category_gender_h1
automotive	search	title	%1$s - Buy %1$s online in %2$s | iPrice	plp.automotive.default_search_title
automotive	search	meta	Find, Compare & Buy %1$s for great prices online ★ Discover the latest %1$s trends and promotions. ✓ Large Selection ✓ Trusted Stores ✓ Best Offers	plp.automotive.default_search_meta
automotive	category_color	title	[[color]] [[category]] | The best prices online in [[country]] | iPrice	plp.automotive.default_category_color_title
automotive	category_color	meta	Buy the newest [[color]] [[category]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.automotive.default_category_color_meta
automotive	category_color	h1	[[heading]]	plp.automotive.default_category_color_h1
automotive	gender_color	title	[[color]] Products for [[gender]] | The best prices online in [[country]] | iPrice	plp.automotive.default_gender_color_title
automotive	gender_color	meta	Buy the newest [[color]] products for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.automotive.default_gender_color_meta
automotive	gender_color	h1	[[heading]]	plp.automotive.default_gender_color_h1
automotive	brand_color	title	[[color]] products from [[brand]] | The best prices online in [[country]] | iPrice	plp.automotive.default_brand_color_title
automotive	brand_color	meta	Buy the newest [[color]] products from [[brand]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.automotive.default_brand_color_meta
automotive	brand_color	h1	[[heading]]	plp.automotive.default_brand_color_h1
automotive	brand_gender_color	title	[[color]] products from [[brand]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.automotive.default_brand_gender_color_title
automotive	brand_gender_color	meta	Buy the newest [[color]] [[brand]] products for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.automotive.default_brand_gender_color_meta
automotive	brand_gender_color	h1	[[heading]]	plp.automotive.default_brand_gender_color_h1
automotive	category_gender_color	title	[[color]] [[category]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.automotive.default_category_gender_color_title
automotive	category_gender_color	meta	Buy the newest [[color]] [[category]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.automotive.default_category_gender_color_meta
automotive	category_gender_color	h1	[[heading]]	plp.automotive.default_category_gender_color_h1
automotive	brand_category_color	title	[[color]] [[brand]] [[category]] | The best prices online in [[country]] | iPrice	plp.automotive.default_brand_category_color_title
automotive	brand_category_color	meta	Buy the newest [[color]] [[brand]] [[category]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.automotive.default_brand_category_color_meta
automotive	brand_category_color	h1	[[heading]]	plp.automotive.default_brand_category_color_h1
automotive	brand_category_gender_color	title	[[color]] [[brand]] [[category]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.automotive.default_brand_category_gender_color_title
automotive	brand_category_gender_color	meta	Buy the newest [[color]] [[brand]] [[category]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.automotive.default_brand_category_gender_color_meta
automotive	brand_category_gender_color	h1	[[heading]]	plp.automotive.default_brand_category_gender_color_h1
automotive	brand_series	title	[[brand]] [[series]] | The best prices online in [[country]] | iPrice	plp.automotive.default_brand_series_title
automotive	brand_series	meta	Buy the newest [[brand]] [[series]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.automotive.default_brand_series_meta
automotive	brand_series	h1	[[heading]]	plp.automotive.default_brand_series_h1
automotive	brand_series_model	title	[[brand]] [[series]] [[model]] | The best prices online in [[country]] | iPrice	plp.automotive.default_brand_series_model_title
automotive	brand_series_model	meta	Buy the newest [[brand]] [[series]] [[model]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.automotive.default_brand_series_model_meta
automotive	brand_series_model	h1	[[heading]]	plp.automotive.default_brand_series_model_h1
automotive	brand_series_color	title	[[color]] [[brand]] [[series]] | The best prices online in [[country]] | iPrice	plp.automotive.default_brand_series_color_title
automotive	brand_series_color	meta	Buy the newest [[brand]] [[series]] in [[color]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.automotive.default_brand_series_color_meta
automotive	brand_series_color	h1	[[heading]]	plp.automotive.default_brand_series_color_h1
automotive	brand_series_model_color	title	[[color]] [[brand]] [[series]] [[model]] | The best prices online in [[country]] | iPrice	plp.automotive.default_brand_series_model_color_title
automotive	brand_series_model_color	meta	Buy the newest [[color]] [[series]] [[model]] from [[brand]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.automotive.default_brand_series_model_color_meta
automotive	brand_series_model_color	h1	[[heading]]	plp.automotive.default_brand_series_model_color_h1
automotive	brand_series_gender	title	[[brand]] [[series]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.automotive.default_brand_series_gender_title
automotive	brand_series_gender	meta	Buy the newest [[brand]] [[series]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.automotive.default_brand_series_gender_meta
automotive	brand_series_gender	h1	[[heading]]	plp.automotive.default_brand_series_gender_h1
